ts,pa
2020-09-08 13:49:41,100729
2020-09-08 13:50:41,100729
2020-09-08 13:51:41,100728
2020-09-08 13:52:41,100726
2020-09-08 13:53:41,100725
2020-09-08 13:54:41,100727
2020-09-08 13:55:41,100725
2020-09-08 13:56:41,100722
2020-09-08 13:57:41,100725
2020-09-08 13:58:41,100722
2020-09-08 13:59:42,100718
2020-09-08 14:00:42,100717
2020-09-08 14:01:42,100715
2020-09-08 14:02:42,100714
2020-09-08 14:03:42,100714
2020-09-08 14:04:42,100714
2020-09-08 14:05:42,100712
2020-09-08 14:06:42,100707
2020-09-08 14:07:42,100705
2020-09-08 14:08:42,100706
2020-09-08 14:09:42,100703
2020-09-08 14:10:42,100706
2020-09-08 14:11:42,100703
2020-09-08 14:12:42,100700
2020-09-08 14:13:42,100698
2020-09-08 14:14:42,100694
2020-09-08 14:15:42,100695
2020-09-08 14:16:42,100692
2020-09-08 14:17:42,100693
2020-09-08 14:18:42,100692
2020-09-08 14:19:42,100694
2020-09-08 14:20:42,100696
2020-09-08 14:21:42,100695
2020-09-08 14:22:42,100695
2020-09-08 14:23:42,100696
2020-09-08 14:24:42,100694
2020-09-08 14:25:42,100691
2020-09-08 14:26:42,100691
2020-09-08 14:27:42,100689
2020-09-08 14:28:42,100687
2020-09-08 14:29:42,100688
2020-09-08 14:30:42,100690
2020-09-08 14:31:42,100688
